asset_id,vulnerability_count,critical_vulnerability_count,avg_cvss,avg_epss,patch_delay,failed_logins,anomaly_count
AST-000001,5,0,6.111314152301166,0.3414197624770249,37.54592454822697,14,5
AST-000002,1,0,6.444064494679054,0.041362583657846216,83.36212787665379,3,0
AST-000003,2,2,9.312730316745865,0.1523963315720206,53.95514702862255,2,1
AST-000004,6,0,6.0331923428401515,0.14286958755105686,54.00491757058853,10,2
AST-000005,3,0,4.854825752941933,0.2168492106443514,9.002948675273444,0,2
AST-000006,2,0,4.789792107717574,0.11464988945482563,130.72849123143752,2,0
AST-000007,1,0,5.080611266427909,0.013862260008651393,37.81027114591978,2,0
AST-000008,0,0,0.0,0.0,99.92676146299907,3,1
AST-000009,3,0,5.446803336357524,0.18935225657344382,49.429494928008,3,0
AST-000010,5,2,8.591580462401271,0.13067068757456257,13.350075869517543,13,4
AST-000011,4,0,4.961024074685748,0.2185602257528755,45.81890621103595,16,3
AST-000012,3,0,6.820901722757826,0.0880735733193895,19.595002651246617,3,0
AST-000013,1,0,6.425237461844933,0.08362537585467922,47.15987432928275,3,1
AST-000014,3,1,9.939810249539363,0.05195860320733269,21.84278934353966,9,4
AST-000015,0,0,0.0,0.0,157.12134567272093,2,0
AST-000016,5,1,8.654796408756713,0.08135182507690933,38.723753788744716,0,3
AST-000017,8,4,8.969103408131993,0.18660099507285097,45.1791773946188,14,2
AST-000018,3,1,8.830467642825283,0.05665144340597891,101.77335502063748,17,1
AST-000019,4,0,3.649438147175984,0.03338329317087106,130.47724470640284,11,4
AST-000020,2,1,8.753781568012963,0.03188825015628176,6.16574169754792,0,0
AST-000021,4,2,7.929656318830912,0.21137131673911466,25.66950684459062,1,0
AST-000022,1,0,5.605760292264765,0.07462559662041314,24.852338831047412,13,2
AST-000023,2,1,8.281865044715925,0.1829459462807804,0.7377270563427228,3,0
AST-000024,5,0,3.522175745906808,0.3645391989548596,6.105687771276122,17,2
AST-000025,0,0,0.0,0.0,36.16338980591587,1,0
AST-000026,3,1,7.627693053473907,0.40550158136225034,46.8515746080092,13,1
AST-000027,2,0,6.440340030213469,0.07417884872214896,24.16890556853513,3,0
AST-000028,1,0,4.225519043908756,0.10413521995794806,201.55353337963305,2,0
AST-000029,1,0,3.747006674146154,0.037303329098928154,16.46907205251503,1,1
AST-000030,4,1,8.48768757302014,0.12933838765916847,69.5133199508455,1,0
AST-000031,1,0,5.64047698201604,0.042049311710929536,22.709733805070723,3,1
AST-000032,1,0,2.361367201775369,0.06863888412927524,46.71773420841296,3,0
AST-000033,4,1,9.642301030888259,0.09146712022937767,115.53144777326652,17,1
AST-000034,1,0,3.9700704416396753,0.20083654294767223,31.74588193276667,1,1
AST-000035,3,1,9.984112416749584,0.03622140038730284,76.89059688485699,1,0
AST-000036,4,0,3.8347659209508205,0.01567591411737721,54.98760239903518,3,0
AST-000037,8,2,7.558343230953572,0.3666508555827973,27.596915695416314,12,7
AST-000038,1,0,4.580497826285565,0.04203319240884147,22.023305800317278,0,1
AST-000039,3,0,6.736940480759093,0.1104061599543226,3.2843767682985785,1,0
AST-000040,4,1,10.0,0.11091504571794757,2.8870791891674292,13,7
AST-000041,4,1,7.715820129245691,0.19590559648372388,51.83194359739108,5,1
AST-000042,2,0,3.663053516514177,0.029681168024408858,64.867348045848,3,1
AST-000043,2,0,6.817083062348182,0.10126411889380114,30.44183266275025,2,1
AST-000044,4,2,6.61421108844079,0.08557524491266322,34.68032791885485,10,3
AST-000045,2,1,7.625732411852292,0.000812301895997261,23.36387424922445,1,0
AST-000046,3,2,8.83127360822759,0.1491429199634401,81.31732735015564,11,6
AST-000047,8,3,8.129155484665873,0.2513513245447175,16.17303438913079,24,4
AST-000048,2,1,7.514798362457862,0.11125182649433235,6.5289361969346125,4,0
AST-000049,4,0,3.2308719076651253,0.44011612718379245,39.00972853409803,6,0
AST-000050,3,0,4.114994944273526,0.05959803909162675,31.841617534957923,4,1
