asset_id,mfa_coverage,edr_coverage,backup_coverage,control_effectiveness
AST-000001,0.7133807022468344,0.5930209234739019,0.6560667783063311,0.6541561346756891
AST-000002,0.732944789571186,0.3346777766709051,0.6701157701343944,0.5792461121254951
AST-000003,0.8068147348585252,0.600580417230365,0.8449601880731746,0.750785113387355
AST-000004,0.7839105877427335,0.30655624492236194,0.5726265257429397,0.5543644528026784
AST-000005,0.9170374919175114,0.908887899321853,0.9853953614679917,0.9371069175691186
AST-000006,0.8722350134606462,0.7731060531145065,0.6855885262425375,0.7769765309392301
AST-000007,0.9328220108468399,0.7013918591523376,0.998920152504152,0.8777113408344431
AST-000008,0.40482902517396696,0.4891760731637581,0.3700464092301185,0.4213505025226145
AST-000009,0.777904940616419,0.5942839342917963,0.9149909938923019,0.7623932896001723
AST-000010,0.43876779216952505,0.8481784078950615,0.9209341727518914,0.7359601242721593
AST-000011,0.4177558399239321,0.7074813546248385,0.8821202607831651,0.6691191517773118
AST-000012,0.932952873058458,0.9294702408185698,0.9248127009448913,0.9290786049406398
AST-000013,0.5407087910924957,0.6700082499644545,0.9749128241807208,0.728543288412557
AST-000014,0.40177923686138933,0.2933601269534934,0.9814904547359936,0.5588766061836254
AST-000015,0.670154820157017,0.4325392506021681,0.9128106545571368,0.6718349084387739
AST-000016,0.7831772497837438,0.9264260882334389,0.955831306273976,0.8884782147637195
AST-000017,0.41254031736046853,0.8520720879861285,0.9281553827831818,0.7309225960432596
AST-000018,0.0,0.5534704655079635,0.4157661537764186,0.32307887309479405
AST-000019,0.8283329770964749,0.6671309865075842,0.7500567935178514,0.7485069190406368
AST-000020,0.6659763064476435,0.4436151824986123,0.5774837972968578,0.5623584287477046
AST-000021,0.5810125752887003,0.5318612773390823,0.9212903323741743,0.6780547283339856
AST-000022,0.3073045996401152,0.6552408476896195,0.8840217000932235,0.6155223824743193
AST-000023,0.9291545298838754,0.9239110547044923,0.930142415826128,0.9277360001381653
AST-000024,0.23330805509797006,0.08742923885750939,0.9677567155707096,0.4294980031753964
AST-000025,0.9466891714637844,0.2977763832030368,0.9000588983318772,0.7148414843328995
AST-000026,0.8375730237805481,0.7581471101474484,0.6390884784028982,0.7449362041102982
AST-000027,0.7078986099899042,0.9188940614282534,0.9288048549110922,0.8518658421097499
AST-000028,0.5514081789226659,0.5173157892448493,0.13907765740640912,0.40260054185797484
AST-000029,0.25265464927408404,0.2670423924383042,0.9094694817837439,0.4763888411653774
AST-000030,0.4318960876310227,0.5951038341629948,0.996176216016963,0.6743920459369935
AST-000031,0.37707617955238426,0.9769312284716312,0.757372583110443,0.7037933303781528
AST-000032,0.6200490202570413,0.7068632189952184,0.7140499704305755,0.6803207365609452
AST-000033,0.8997481438243031,0.6073045044208368,0.38942703137986523,0.6321598932083351
AST-000034,0.612115736399444,0.8219069091095654,0.8966884777829277,0.776903707763979
AST-000035,0.917748870007873,0.44095479264933324,0.5575946884191146,0.6387661170254403
AST-000036,0.0,0.6682776816142958,0.8303994806432026,0.4995590540858328
AST-000037,0.8724574595989397,0.3346310826983782,0.9890947675051747,0.7320611032674975
AST-000038,0.8036391702550119,0.4859100137503536,0.898300550677223,0.7292832448941962
AST-000039,0.6190698412265649,0.8415773819718982,0.8056452322194508,0.755430818472638
AST-000040,0.4071828881169235,0.37472131444620965,0.9088879063848602,0.5635973696493312
AST-000041,0.9206659201783645,0.4937408439072611,0.4786633958703879,0.6310233866520044
AST-000042,0.41215209424331245,0.5149289621000205,0.9444642114474571,0.62384842259693
AST-000043,0.0,0.722544791093711,0.5749794819031356,0.4325080909989489
AST-000044,0.22281739074179704,0.28836979967206705,0.7894965325930347,0.43356124100229954
AST-000045,0.6143106366275926,0.7058331235379158,0.9482527237427008,0.7561321613027364
AST-000046,0.44624363129124,0.5735571592939772,0.7825601375341233,0.6007869760397803
AST-000047,0.7217051374563205,0.9923956203900538,0.9322317716900427,0.8821108431788057
AST-000048,0.9259948780300602,0.5232951633568869,0.7926807662986559,0.7473236025618677
AST-000049,0.0,0.7784020825079581,0.7087352361584914,0.4957124395554831
AST-000050,0.23443064874991343,0.18101671092463986,0.5122684500015917,0.30923860322538166
AST-000051,0.41462291423935155,0.3552727329906685,0.28266808730025406,0.350854578176758
AST-000052,0.9165120506047937,0.5271408499296981,0.9436789033445996,0.7957772679596972
AST-000053,0.9462245911433359,0.37110584979392586,0.864514726199452,0.7272817223789046
AST-000054,0.3815074897636287,0.7198653667370687,0.9838588243845721,0.6950772269617564
AST-000055,0.7382838854811862,0.33131122672341834,0.5387800179913854,0.5361250433986634
AST-000056,0.792644494120173,0.4253797796229559,0.9721334822518805,0.7300525853316698
AST-000057,0.3956047369266713,0.7082767146162567,0.9550767037444593,0.6863193850957958
AST-000058,0.4576581358877615,0.8552577268816886,0.7018401268634062,0.6715853298776188
AST-000059,0.5370666018304164,0.9854976971071497,0.42734905973610726,0.6499711195578911
AST-000060,0.8693497181726244,0.46175063453264387,0.12727779296711392,0.4861260485574607
AST-000061,0.9282331962571575,0.45931185648116984,0.4796429120304965,0.6223959882562746
AST-000062,0.3854320826338081,0.3535452099394297,0.5484839446382301,0.429153745737156
AST-000063,0.4000946235546911,0.7201052366324652,0.7404658273000978,0.6202218958290847
AST-000064,0.25959339023944705,0.28668820126136,0.45622040802181696,0.33416733317420794
AST-000065,0.5696893511235855,0.6617629394538854,0.9144526497485856,0.7153016467753522
AST-000066,0.0,0.5773920982223887,0.89430299157589,0.4905650299327595
AST-000067,0.8587138267866372,0.7894642797719609,0.7343939514860345,0.7941906860148776
AST-000068,0.47701290871094293,0.6681907379728014,0.9816204896236397,0.708941378769128
AST-000069,0.5345384702927743,0.5358767705639271,0.8658712863249819,0.6454288423938944
AST-000070,0.3768194723062023,0.1579837078208743,0.34374483036885595,0.2928493368319775
AST-000071,0.42939614141195404,0.14818581138169323,0.33186113432816927,0.3031476957072721
AST-000072,0.4271688212675176,0.6796465303353727,0.7655906397804508,0.6241353304611137
AST-000073,0.5866503861299328,0.30693056118215706,0.8343421856441846,0.5759743776520915
AST-000074,0.8563378050771918,0.8779732200645136,0.9917553089558867,0.9086887780325307
AST-000075,0.7498862579375023,0.6359485905030279,0.7664330801147949,0.717422642851775
AST-000076,0.46198016870147923,0.34673028456375354,0.6673899003677468,0.4920334512109932
AST-000077,0.7528504909472975,0.6988574424526693,0.8372373224146569,0.7629817519382079
AST-000078,0.7205611759196895,0.4580800419293555,0.886468155772733,0.6883697912072592
AST-000079,0.525210129731566,0.4483044849778775,0.9348014879533848,0.6361053675542762
AST-000080,0.6252229826290597,0.6723663428155601,0.8917035315055682,0.7297642856500627
AST-000081,0.0,0.6047658577313756,0.9895368708149532,0.5314342428487763
AST-000082,0.7724985854085927,0.7609476736973801,0.5855291963013367,0.7063251518024365
AST-000083,0.7041664371559292,0.17738367170768507,0.8432304190945255,0.5749268426527133
AST-000084,0.5108328446197751,0.14642061189267974,0.9300290055708674,0.5290941540277742
AST-000085,0.44459371981670737,0.6423962269651982,0.9887212067836036,0.6919037178551698
AST-000086,0.5065766113502116,0.9274062707753158,0.6632687803370404,0.6990838874875226
AST-000087,0.14004647419290664,0.5052261256456033,0.5249746469546334,0.39008241559771445
AST-000088,0.5037452545187903,0.6808948274480906,0.979250074090232,0.7212967186857043
AST-000089,0.057716189590068676,0.6996203666322085,0.7889718236461055,0.5154361266227943
AST-000090,0.43634642676207913,0.6862731379577657,0.8360943146822221,0.6529046264673557
AST-000091,0.7495555452464023,0.1418778388807349,0.9314250668732104,0.6076194836667825
AST-000092,0.0,0.5061357224336435,0.9877271472998003,0.49795428991114793
AST-000093,0.3128704507739417,0.0871886710852744,0.9715207632618568,0.45719329504035766
AST-000094,0.93741918850373,0.20779814229050655,0.5257084637093727,0.5569752648345364
AST-000095,0.5321351222006867,0.8579630113618314,0.8399440789875479,0.7433474041833552
AST-000096,0.5411688715495597,0.36993544268606626,0.5140967982845077,0.4750670375067112
AST-000097,0.6197528878781956,0.774835007857058,0.8923991808805015,0.762329025538585
AST-000098,0.37508155953738914,0.6349028952314155,0.8821250722559072,0.630703175674904
AST-000099,0.44826405036268163,0.5983454908438297,0.5100729976355177,0.5188941796140097
AST-000100,0.7933580450935954,0.580660139142851,0.8834988602681142,0.7525056815015203
AST-000101,0.23722194857853152,0.6516700546680111,0.35834947393210786,0.4157471590595501
AST-000102,0.09261758834501611,0.3605643301789546,0.34379875518508085,0.26566022456968386
AST-000103,0.843716313433884,0.4940542784021457,0.6314067024068162,0.6563924314142819
AST-000104,0.8412296244085753,0.8342676719105966,0.892248735937343,0.855915344085505
AST-000105,0.5954689948317065,0.5315877621479536,0.88900363690345,0.6720201312943699
AST-000106,0.8050341995478357,0.4179980645776821,0.748439059681921,0.657157107935813
AST-000107,0.5990046802085409,0.8675434406914497,0.9632652215472735,0.8099377808157547
