asset_id,incident_occurred,total_loss_inr
AST-000001,0,0.0
AST-000002,0,0.0
AST-000003,0,0.0
AST-000004,0,0.0
AST-000005,0,0.0
AST-000006,0,0.0
AST-000007,1,870236.3
AST-000008,0,0.0
AST-000009,0,0.0
AST-000010,0,0.0
AST-000011,1,960393.25
AST-000012,0,0.0
AST-000013,0,0.0
AST-000014,0,0.0
AST-000015,0,0.0
AST-000016,0,0.0
AST-000017,0,0.0
AST-000018,0,0.0
AST-000019,0,0.0
AST-000020,0,0.0
AST-000021,1,517626.24
AST-000022,0,0.0
AST-000023,0,0.0
AST-000024,0,0.0
AST-000025,0,0.0
AST-000026,0,0.0
AST-000027,0,0.0
AST-000028,0,0.0
AST-000029,0,0.0
AST-000030,0,0.0
AST-000031,0,0.0
AST-000032,0,0.0
AST-000033,0,0.0
AST-000034,0,0.0
AST-000035,0,0.0
AST-000036,0,0.0
AST-000037,0,0.0
AST-000038,0,0.0
AST-000039,0,0.0
AST-000040,0,0.0
AST-000041,0,0.0
AST-000042,0,0.0
AST-000043,0,0.0
AST-000044,0,0.0
AST-000045,0,0.0
AST-000046,0,0.0
AST-000047,0,0.0
AST-000048,0,0.0
AST-000049,0,0.0
AST-000050,0,0.0
AST-000051,0,0.0
AST-000052,0,0.0
AST-000053,0,0.0
AST-000054,0,0.0
AST-000055,0,0.0
AST-000056,0,0.0
AST-000057,0,0.0
AST-000058,0,0.0
AST-000059,0,0.0
AST-000060,0,0.0
AST-000061,0,0.0
AST-000062,0,0.0
AST-000063,0,0.0
AST-000064,0,0.0
AST-000065,0,0.0
AST-000066,0,0.0
AST-000067,0,0.0
AST-000068,1,108920.07
AST-000069,0,0.0
AST-000070,0,0.0
AST-000071,0,0.0
AST-000072,0,0.0
AST-000073,0,0.0
AST-000074,0,0.0
AST-000075,0,0.0
AST-000076,1,1630513.2
AST-000077,1,1019050.18
AST-000078,0,0.0
AST-000079,0,0.0
AST-000080,0,0.0
AST-000081,0,0.0
AST-000082,0,0.0
AST-000083,0,0.0
AST-000084,0,0.0
AST-000085,1,5108751.01
AST-000086,0,0.0
AST-000087,0,0.0
AST-000088,0,0.0
AST-000089,1,609392.29
AST-000090,0,0.0
AST-000091,0,0.0
AST-000092,0,0.0
AST-000093,0,0.0
AST-000094,0,0.0
AST-000095,0,0.0
AST-000096,0,0.0
AST-000097,0,0.0
AST-000098,0,0.0
AST-000099,0,0.0
AST-000100,0,0.0
